"V1" "V2" "V3" "V4" "V5" "V6"
"SV109" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Johnsonella"
"SV110" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotellaceae_Ga6A1_group"
"SV111" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV112" "Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" NA
"SV113" "Bacteria" "Actinobacteria" "Actinobacteria" "Frankiales" "Geodermatophilaceae" "Geodermatophilus"
"SV114" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Rothia"
"SV115" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Flammeovirgaceae" "Candidatus_Paenicardinium"
"SV116" "Bacteria" "Cyanobacteria" "Chloroplast" NA NA NA
"SV117" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" NA
"SV118" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella_7"
"SV119" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Rhizobium"
"SV120" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Fusobacterium"
"SV121" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Cetobacterium"
"SV122" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas"
"SV123" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Carnobacteriaceae" "Carnobacterium"
"SV124" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV125" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas"
"SV126" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Halomonas"
"SV127" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium"
"SV128" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "Acidimicrobiaceae" "Ilumatobacter"
"SV129" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Arthrobacter"
"SV130" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Candidatus_Arthromitus"
"SV131" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Sellimonas"
"SV132" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Erysipelotrichaceae_UCG-003"
"SV133" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Holdemania"
"SV134" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV135" "Bacteria" NA NA NA NA NA
"SV136" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Mitochondria" NA
"SV137" "Bacteria" "Actinobacteria" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Actinoplanes"
"SV138" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Nocardioides"
"SV139" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA
"SV140" "Bacteria" "Actinobacteria" "Coriobacteriia" "Coriobacteriales" "Coriobacteriaceae" "Senegalimassilia"
"SV141" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Psychrobacter"
"SV142" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetaceae" "Varibaculum"
"SV143" "Bacteria" "Proteobacteria" "Epsilonproteobacteria" "Campylobacterales" "Helicobacteraceae" "Helicobacter"
"SV144" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Peptoclostridium"
"SV145" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Anaerostipes"
"SV146" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto_1"
"SV147" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Neorhizobium"
"SV148" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides"
"SV149" "Bacteria" "Proteobacteria" "Epsilonproteobacteria" "Campylobacterales" "Campylobacteraceae" "Campylobacter"
"SV150" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Family_XI" "Gallicola"
"SV151" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Microbacteriaceae" NA
"SV152" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium"
"SV153" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Lysobacter"
"SV154" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" NA
"SV155" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Turicibacter"
"SV156" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium"
"SV157" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Sanguibacteraceae" "Sanguibacter"
"SV158" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Nocardioides"
"SV159" "Bacteria" "Actinobacteria" "Coriobacteriia" "Coriobacteriales" "Coriobacteriaceae" "Olsenella"
"SV160" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Terrisporobacter"
