Bird,Sheet,Date,Time,Observer_code,SiteCode,Flock_size,No. Checked,Associates,API,UNR:API,Res Order,Comments
DUBY,,01/05/2017,06:50,"TH, JS",R5,65,,,2.5,,,
2DBY,,01/05/2017,06:50,"TH, JS",R5,65,,2ZBY,3,3,,
2ZBY,,01/05/2017,06:50,"TH, JS",R5,65,,2DBY,3,3,,
IUBY,,01/05/2017,06:50,"TH, JS",R5,65,,,,,,
LZRR,,01/05/2017,06:50,"TH, JS",R5,65,,,,,,
ZJWR,,01/05/2017,06:50,"TH, JS",R5,65,,,,,,
CUBY,,01/05/2017,06:50,"TH, JS",R5,65,,,,,,
FUBY,,01/05/2017,07:29,"TH, JS",N6,150,,,2.5,,,
JLWY,,01/05/2017,07:29,"TH, JS",N6,150,,,,,,
CZBY,,01/05/2017,07:29,"TH, JS",N6,150,,XXBY,,,,
LVBY,,01/05/2017,07:29,"TH, JS",N6,150,,44WB,2,2.5,,
HHBB,,01/05/2017,07:29,"TH, JS",N6,150,,CKBB,2,2,,
44WB,,01/05/2017,07:29,"TH, JS",N6,150,,LVBY,2.5,2,,
7IBY,,01/05/2017,07:29,"TH, JS",N6,150,,,,,,
CKBB,,01/05/2017,07:29,"TH, JS",N6,150,,HHBB,2,2,,
DPON,,01/05/2017,07:29,"TH, JS",N6,150,,CAON,2,2,,
CAON,,01/05/2017,07:29,"TH, JS",N6,150,,DPON,2,2,,
7KBY,,01/05/2017,07:29,"TH, JS",N6,150,,,,,,
UCBY,,01/05/2017,07:29,"TH, JS",N6,150,,IDBY,2,2,,
IDBY,,01/05/2017,07:29,"TH, JS",N6,150,,UCBY,2,2,,
LLLY,,01/05/2017,07:29,"TH, JS",N6,150,,,,,,
2KWR,,01/05/2017,07:29,"TH, JS",N6,150,,96WB,2.5,2,,
ATBY,,01/05/2017,07:29,"TH, JS",N6,150,,,,,,
96WB,,01/05/2017,07:29,"TH, JS",N6,150,,2KWR,2,2.5,,
XXBY,,01/05/2017,07:29,"TH, JS",N6,150,,CZBY,,2,,
D2LY,,01/05/2017,07:57,"TH, JS",R29,90,,unringed,2.5,,,
IZBY,,01/05/2017,07:57,"TH, JS",R29,90,,,2,,,
26WB,,01/05/2017,07:57,"TH, JS",R29,90,,2CWR,2,2.5,,
43WB,,01/05/2017,07:57,"TH, JS",R29,90,,,2,,,
U2BY,,01/05/2017,07:57,"TH, JS",R29,90,,,2,,,
FUBY,,01/05/2017,07:57,"TH, JS",R29,90,,unringed,3,,2,
2CWR,,01/05/2017,07:57,"TH, JS",R29,90,,26WB,2.5,2,,
JUBY,,01/05/2017,08:40,"TH, JS",R29,110,,FVBY,2.5,2,,
FVBY,,01/05/2017,08:40,"TH, JS",R29,110,,JUBY,2,2.5,,
BZBY,,01/05/2017,08:40,"TH, JS",R29,110,,4DBY,2,2,,
4DBY,,01/05/2017,08:40,"TH, JS",R29,110,,BZBY,2,2,,
KIBY,,01/05/2017,08:40,"TH, JS",R29,110,,,2,,,
ZTRY,,01/05/2017,11:00,"TH, JS",G3,20,,,,,,
DTBB,,01/05/2017,11:00,"TH, JS",G3,20,,,,,,
DNBB,,01/05/2017,11:00,"TH, JS",G3,20,,,,,,
X6WR,,01/05/2017,11:00,"TH, JS",G3,20,,,,,,
62WB,,01/05/2017,11:00,"TH, JS",G3,20,,,,,,
2BWR,,01/05/2017,11:00,"TH, JS",G3,20,,,,,,
NDRB,,01/05/2017,11:08,"TH, JS",G2,100,,TSRB,2.5,2,,
TSRB,,01/05/2017,11:08,"TH, JS",G2,100,,NDRB,2,2.5,,
TLRR,,01/05/2017,11:08,"TH, JS",G2,100,,,2,,,
TZLY,,01/05/2017,11:08,"TH, JS",G2,100,,,2.5,,,
H-W-,,01/05/2017,12:00,"TH, JS",R25,130,,,2,,,
2CWR,,01/05/2017,12:00,"TH, JS",R25,130,,,2.5,,,
I9WR,,01/05/2017,12:00,"TH, JS",R25,130,,,3,,,2 juveniles with API 2.5 and 2.0
F3BY,,01/05/2017,12:00,"TH, JS",R25,130,,,2.5,,,
9PBY,,01/05/2017,12:00,"TH, JS",R25,130,,,2.5,,,
32WB,,01/05/2017,12:00,"TH, JS",R25,130,,24WB,3,2.5,,
24WB,,01/05/2017,12:00,"TH, JS",R25,130,,32WB,2.5,3,,
DXON,,01/05/2017,12:00,"TH, JS",R25,130,,unringed,2,2,,
3URR,,01/05/2017,12:00,"TH, JS",R25,130,,,2.5,,,
IVBY,,01/05/2017,12:00,"TH, JS",R25,130,,TUBY,2.5,2,,2 juveniles
TUBY,,01/05/2017,12:00,"TH, JS",R25,130,,IVBY,2,2.5,,2 juveniles
4HYY,,01/05/2017,12:00,"TH, JS",R25,130,,,,,,
PXBY,,01/05/2017,12:00,"TH, JS",R25,130,,unringed,2.5,,,
D2LY,,01/05/2017,12:40,"TH, JS",R25,50,,unringed,2.5,,,
SNBY,,01/05/2017,12:40,"TH, JS",R25,50,,,2.5,,,
4HBY,,01/05/2017,12:40,"TH, JS",R25,110,,4JBY,2.5,3,,
4JBY,,01/05/2017,12:40,"TH, JS",R25,110,,4HBY,3,2.5,,
AXRR,,01/05/2017,12:40,"TH, JS",R25,110,,,3,,,
IUBY,,01/05/2017,12:40,"TH, JS",R25,110,,,2.5,,,
IPRR,,01/05/2017,12:40,"TH, JS",R25,110,,,3,,,
FUBY,,01/05/2017,12:40,"TH, JS",R25,110,,,,,,
(m)Z(m)Y,,01/05/2017,12:40,"TH, JS",R25,110,,,,,,
A-RR,,01/05/2017,12:40,"TH, JS",R25,110,,,,,,
BBBB,,01/05/2017,12:40,"TH, JS",R25,110,,,,,,
KABY,,01/05/2017,12:40,"TH, JS",R25,110,,,,,,
ADON,,01/05/2017,12:40,"TH, JS",R25,110,,unringed,3,2.5,,
(m)B(m)Y,,01/05/2017,12:40,"TH, JS",R25,110,,,,,,
BZBY,,01/05/2017,12:40,"TH, JS",R25,110,,,2,,,
4DBY,,01/05/2017,12:40,"TH, JS",R25,110,,,2,,,
ZAWR,,01/05/2017,12:40,"TH, JS",R25,110,,ZHWR,2,,,1 juvenile
ZHWR,,01/05/2017,12:40,"TH, JS",R25,110,,ZAWR,,2,,1 juvenile
(m)P(m)Y,,01/05/2017,13:44,"TH, JS",R6A,18,,,2,,,2 juveniles
FJRY,,01/05/2017,14:12,"TH, JS",R16,18,,,2,,,
4UBY,,01/05/2017,15:03,"TH, JS",R5,40,,,2.5,,,
4DBY,,01/05/2017,15:03,"TH, JS",R5,40,,BZBY,,,,
BZBY,,01/05/2017,15:03,"TH, JS",R5,40,,4DBY,,,,
F3WR,,01/05/2017,15:03,"TH, JS",R5,40,,unringed,2,2,,
AKBY,,01/05/2017,15:03,"TH, JS",R5,40,,2BDBO,,2,,2 juveniles
2BDBO,,01/05/2017,15:03,"TH, JS",R5,40,,AKBY,2,,,2 juveniles
V6YY,,01/05/2017,15:38,"TH, JS",R29,15,,unringed,1.5,,,VY ring = broken
FUBY,,01/05/2017,15:38,"TH, JS",R29,15,,,,,,
(m)Z(m)Y,,01/05/2017,15:38,"TH, JS",R29,15,,unringed,2,,,
I3YY,,01/05/2017,16:35,"TH, JS",R5,40,,unringed,2,,,3 juveniles
D3LY,,01/05/2017,16:35,"TH, JS",R5,40,,unringed,2,3,,
F3WR,,01/05/2017,16:35,"TH, JS",R5,40,,,2,,,
P2BY,,01/05/2017,16:35,"TH, JS",R5,40,,B2BY,2.5,2,,
B2BY,,01/05/2017,16:35,"TH, JS",R5,40,,P2BY,2,2.5,,
DXON,,01/05/2017,16:35,"TH, JS",R5,40,,,2,,,
42ON,,01/05/2017,16:35,"TH, JS",R5,40,,,2,,,
U2BY,,01/05/2017,17:20,"TH, JS",R29,120,,,,,,
AXRR,,01/05/2017,17:20,"TH, JS",R29,120,,,3,,,
44WB,,01/05/2017,17:20,"TH, JS",R29,120,,,2.5,,,
H3WR,,01/05/2017,17:20,"TH, JS",R29,120,,,2,,,
DTBB,,01/05/2017,17:20,"TH, JS",R29,120,,DNBB,2,2.5,,
DNBB,,01/05/2017,17:20,"TH, JS",R29,120,,DTBB,2.5,2,,
IPRR,,01/05/2017,17:20,"TH, JS",R29,120,,unringed,3,,,
6PBY,,01/05/2017,17:20,"TH, JS",R29,120,,6DBY,2,2.5,,
6DBY,,01/05/2017,17:20,"TH, JS",R29,120,,6PBY,2.5,2,,
B-L-,,01/05/2017,17:20,"TH, JS",R29,120,,,2.5,,,no ring on left leg
#NAME?,,01/05/2017,17:20,"TH, JS",R29,120,,,2,,,no ring on right leg
KVBY,,01/05/2017,17:20,"TH, JS",R29,120,,unringed,3,,,
2CWR,,01/05/2017,18:10,"TH, JS",R25,150,,,,,,
2KWR,,01/05/2017,18:10,"TH, JS",R25,150,,,,,,
44WB,,01/05/2017,18:10,"TH, JS",R25,150,,LVBY,2.5,,,
LVBY,,01/05/2017,18:10,"TH, JS",R25,150,,44WB,,2.5,,
96WB,,01/05/2017,18:10,"TH, JS",R25,150,,,,,,
ATBY,,01/05/2017,18:10,"TH, JS",R25,150,,unringed,2,,,
KVBY,,01/05/2017,18:10,"TH, JS",R25,150,,unringed,2.5,,,
7HWR,,01/05/2017,18:10,"TH, JS",R25,150,,ZAWR,2.5,2,,3 juveniles
D2LY,,01/05/2017,18:10,"TH, JS",R25,150,,unringed,2,,,
ZAWR,,01/05/2017,18:10,"TH, JS",R25,150,,7HWR,2,2.5,,3 juveniles
H6WR,,01/05/2017,18:10,"TH, JS",R25,150,,,2,,,
9NBY,,01/05/2017,18:10,"TH, JS",R25,150,,,2.5,,,
9KBY,,01/05/2017,18:10,"TH, JS",R25,150,,,2.5,,,
PXBY,,01/05/2017,18:10,"TH, JS",R25,150,,,,,,
IUBY,,01/05/2017,18:10,"TH, JS",R25,150,,,,,,
LVBY,,02/05/2017,07:00,"TH, JS",R28,180,,44WB,2.5,2.5,,
44WB,,02/05/2017,07:00,"TH, JS",R28,180,,LVBY,2.5,2.5,,
AXRR,,02/05/2017,07:00,"TH, JS",R28,180,,,2.5,,,
UCBY,,02/05/2017,07:00,"TH, JS",R28,180,,IDBY,2,2,,
IDBY,,02/05/2017,07:00,"TH, JS",R28,180,,UCBY,2,2,,
96WB,,02/05/2017,07:00,"TH, JS",R28,180,,2KWR,2,3,,
26WB,,02/05/2017,07:00,"TH, JS",R28,180,,,3,,,
I3YY,,02/05/2017,07:00,"TH, JS",R28,180,,unringed,3,,,2 juveniles
VZBY,,02/05/2017,07:00,"TH, JS",R28,180,,unringed,2,,,
C2BY,,02/05/2017,07:00,"TH, JS",R28,180,,,3,,,
XZBY,,02/05/2017,07:00,"TH, JS",R28,180,,,3,,,
UHWB,,02/05/2017,07:00,"TH, JS",R28,180,,,2,,,
B2BY,,02/05/2017,07:00,"TH, JS",R28,180,,P2BY,2.5,2.5,,
P2BY,,02/05/2017,07:00,"TH, JS",R28,180,,B2BY,2.5,2.5,,
HHBB,,02/05/2017,07:00,"TH, JS",R28,180,,CKBB,2.5,,,
CKBB,,02/05/2017,07:00,"TH, JS",R28,180,,HHBB,,2.5,,
?PON,,02/05/2017,07:00,"TH, JS",R28,180,,,,,,
CAON,,02/05/2017,07:00,"TH, JS",R28,180,,,2,,,
42ON,,02/05/2017,07:00,"TH, JS",R28,180,,,2.5,,,
PCWR,,02/05/2017,07:00,"TH, JS",R28,180,,ILRR,2.5,3,,
ILRR,,02/05/2017,07:00,"TH, JS",R28,180,,PCWR,3,2.5,,
7ABY,,02/05/2017,07:00,"TH, JS",R28,180,,,2,,,
2KWR,,02/05/2017,07:00,"TH, JS",R28,180,,96WB,3,,,
IPRR,,02/05/2017,11:54,"TH, JS",R25,,,,,,,
XXBY,,02/05/2017,11:54,"TH, JS",R25,,,CZBY,2.5,2.5,,
CZBY,,02/05/2017,11:54,"TH, JS",R25,,,XXBY,2.5,2.5,,
DXON,,02/05/2017,11:54,"TH, JS",R25,,,,3,,,
VZWR,,02/05/2017,11:54,"TH, JS",R25,,,,,,,
K3BY,,02/05/2017,11:54,"TH, JS",R25,,,,3,,,
67ON,,02/05/2017,11:54,"TH, JS",R25,,,,3,,,with collar
N4BY,,02/05/2017,13:07,"TH, JS",R29,15,,,,,,
DNBB,,02/05/2017,13:07,"TH, JS",R29,25,,DTBB,3,2.5,,
DTBB,,02/05/2017,13:07,"TH, JS",R29,25,,DNBB,2.5,3,,
2XRB,,02/05/2017,13:07,"TH, JS",R29,25,,,3,,,
2JWB,,02/05/2017,14:04,"TH, JS",R25,,,,,,,
D3LY,,02/05/2017,14:04,"TH, JS",R25,,,,,,,
FVBY,,02/05/2017,14:04,"TH, JS",R25,,,JUBY,2.5,2.5,,
JUBY,,02/05/2017,14:04,"TH, JS",R25,,,FVBY,2.5,2.5,,
4HYY,,02/05/2017,14:43,"TH, JS",G4,25,,,,,,4Y broken
6BBY,,02/05/2017,14:53,"TH, JS",G4,25,,6FBY,,,,
6FBY,,02/05/2017,14:53,"TH, JS",G4,25,,6BBY,,,,
XSWR,,02/05/2017,14:53,"TH, JS",G4,7,,,,,,
KSWB,,02/05/2017,15:09,"TH, JS",NEW SITE,55,,,2.5,,,
B7BY,,02/05/2017,15:28,"TH, JS",NEW SITE,99,,,3.5,,,
7TRB,,02/05/2017,15:28,"TH, JS",NEW SITE,99,,,3,,,
S6BY,,02/05/2017,15:28,"TH, JS",NEW SITE,99,,,3,,,
3URR,,02/05/2017,15:28,"TH, JS",NEW SITE,99,,,2.5,,,
X6WR,,02/05/2017,15:28,"TH, JS",NEW SITE,99,,,,,,
UDRB,,02/05/2017,15:28,"TH, JS",NEW SITE,99,,,3,,,
S-WB,,02/05/2017,15:49,"TH, JS",NEW SITE,99,,,,,,blue ring stuck on top of knee
I9WR,,02/05/2017,15:49,"TH, JS",NEW SITE,99,,,3,,,
KALY,,02/05/2017,15:49,"TH, JS",NEW SITE,99,,,2.5,,,
V7BY,,02/05/2017,15:49,"TH, JS",NEW SITE,99,,,2.5,,,
KVBY,,02/05/2017,16:00,"TH, JS",R24,15,,,3,,,
LZRR,,02/05/2017,16:00,"TH, JS",R24,15,,,,,,
CUBY,,02/05/2017,16:00,"TH, JS",R24,15,,,3,,,
ATBY,,02/05/2017,16:00,"TH, JS",R24,15,,,2,,,
DXON,,02/05/2017,16:25,"TH, JS",R25,85,,,,,,
ZAWR,,02/05/2017,16:25,"TH, JS",R25,85,,,,,,
9PBY,,02/05/2017,16:25,"TH, JS",R25,85,,,,,,
2CWR,,02/05/2017,16:25,"TH, JS",R25,85,,,,,,
IUBY,,02/05/2017,16:25,"TH, JS",R25,85,,,3,,,
(m)K(m)Y,,02/05/2017,16:25,"TH, JS",R25,85,,,,,,
SKWR,,02/05/2017,16:25,"TH, JS",R25,85,,,,,,
ZHWR,,02/05/2017,16:25,"TH, JS",R25,85,,,,,,
43WB,,02/05/2017,16:25,"TH, JS",R25,85,,26WB,,,,
PCWR,,02/05/2017,16:25,"TH, JS",R25,90,,ILRR,2,2.5,,
ILRR,,02/05/2017,16:25,"TH, JS",R25,90,,PCWR,2.5,2,,
PXBY,,02/05/2017,16:25,"TH, JS",R25,90,,,3,,,
26WB,,02/05/2017,16:25,"TH, JS",R25,90,,43WB,,,,
CTBY,,03/05/2017,06:55,"TH, JS",R6A,30,,,,,,
JTBY,,03/05/2017,06:55,"TH, JS",R6A,30,,,,,,
?P?Y,,03/05/2017,06:55,"TH, JS",R6A,30,,,,,,
HVBY,,03/05/2017,06:55,"TH, JS",R6A,30,,,3,,,
4HYY,,03/05/2017,07:05,"TH, JS",R5,48,,,2.5,,,
2PRY,,03/05/2017,07:05,"TH, JS",R5,48,,,2.5,,,
N2BY,,03/05/2017,07:37,"TH, JS",R17,7,,NZBY,2,2,,
NZBY,,03/05/2017,07:37,"TH, JS",R17,7,,N2BY,2,2,,
D2LY,,03/05/2017,10:23,"TH, JS",R25,12,,,2.5,,,
T2WB,,03/05/2017,10:55,"TH, JS",R27,70,,unringed,3,,,
T3RY,,03/05/2017,10:55,"TH, JS",R27,70,,,2.5,,,
2ZWR,,03/05/2017,10:55,"TH, JS",R27,70,,DTWR,2.5,3,,
96YY,,03/05/2017,10:55,"TH, JS",R27,70,,,,,,
DTWR,,03/05/2017,10:55,"TH, JS",R27,70,,2ZWR,3,2.5,,
ALBY,,03/05/2017,11:15,"TH, JS",R27,24,,FPBY,3,2.5,,
FPBY,,03/05/2017,11:15,"TH, JS",R27,24,,ALBY,2.5,3,,
VZWR,,03/05/2017,11:41,"TH, JS",R6A,28,,unringed,2,,,
DFBB,,03/05/2017,12:35,"TH, JS",G7,37,,,2,,,
PXRY,,03/05/2017,12:35,"TH, JS",G7,37,,,3,,,
XLWR,,03/05/2017,12:35,"TH, JS",G7,37,,X2WR,2.5,3,,
X2WR,,03/05/2017,12:35,"TH, JS",G7,37,,XLWR,3,2.5,,
66RY,,03/05/2017,12:51,"TH, JS",G5,10,,,3,,,
(m)N(m)Y,,03/05/2017,13:13,"TH, JS",G3,38,,,3,,,
L3BY,,03/05/2017,13:13,"TH, JS",G3,38,,unringed,3,,,
62WB,,03/05/2017,13:29,"TH, JS",G2,20,,,3,,,
ZFWB,,03/05/2017,13:29,"TH, JS",G2,20,,unringed,3,,,
6JBY,,03/05/2017,13:57,"TH, JS",G2,43,,6ABY,3,2,,
6ABY,,03/05/2017,13:57,"TH, JS",G2,43,,6JBY,2,3,,
6LBY,,03/05/2017,14:18,"TH, JS",G3,52,,,2.5,,,
2PWR,,03/05/2017,14:18,"TH, JS",G3,52,,2NWR,2,3,,
2NWR,,03/05/2017,14:18,"TH, JS",G3,52,,2PWR,3,2,,
(m)H(m)Y,,03/05/2017,14:18,"TH, JS",G3,52,,,2,,,
H3WR,,03/05/2017,14:50,"TH, JS",R6A,50,,,2.5,,,
CUBY,,03/05/2017,14:50,"TH, JS",R6A,50,,LZRR,2.5,,,
LZRR,,03/05/2017,14:50,"TH, JS",R6A,50,,CUBY,,2.5,,
FVBY,,03/05/2017,14:50,"TH, JS",R6A,50,,JUBY,,,,
JUBY,,03/05/2017,14:50,"TH, JS",R6A,50,,FVBY,,,,
D3LY,,03/05/2017,17:45,"TH, JS",R6A,27,,unringed,2,,,
PUBY,,03/05/2017,18:04,"TH, JS",R6A,10,,HVBY,2.5,3.5,,
HVBY,,03/05/2017,18:04,"TH, JS",R6A,10,,PUBY,3.5,2.5,,
2CWR,,03/05/2017,18:36,"TH, JS",R5,20,,unringed,2.5,,,
B7BY,,03/05/2017,18:45,"TH, JS",R5,57,,,3,,,Juvenile
IPRR,,03/05/2017,18:45,"TH, JS",R5,57,,,,,,
VXBY,,03/05/2017,19:00,"TH, JS",R5,2,,HZBY,2,2.5,,
HZBY,,03/05/2017,19:00,"TH, JS",R5,2,,VXBY,2.5,2,,
AHRR,,04/05/2017,06:30,"TH, JS",G3,19,,,2.5,,,
UDRB,,04/05/2017,06:33,"TH, JS",G3,30,,,2.5,,,
9VBY,,04/05/2017,06:33,"TH, JS",G3,30,,,4,,,
9NBY,,04/05/2017,06:33,"TH, JS",G3,30,,S-Y-,2.5,2,,possibly one juvenile
S-Y-,,04/05/2017,06:33,"TH, JS",G3,30,,9NBY,2,2.5,,no ring on left
KALY,,04/05/2017,06:33,"TH, JS",G3,30,,,3,,,
XVWR,,04/05/2017,06:42,"TH, JS",R1,30,,,,,,
X-W-,,04/05/2017,06:42,"TH, JS",R1,30,,,,,,
DTBB,,04/05/2017,06:42,"TH, JS",R1,30,,DNBB,2.5,3,,
DNBB,,04/05/2017,06:42,"TH, JS",R1,30,,DTBB,3,2.5,,
IJRY,,04/05/2017,06:42,"TH, JS",R1,30,,unringed ,3,,,
(m)N(m)Y,,04/05/2017,07:05,"TH, JS",,35,,,3,,,broken N ring
XSWR,,04/05/2017,07:05,"TH, JS",,35,,,,,,
(m)L(m)Y,,04/05/2017,07:05,"TH, JS",,35,,,,,,
IUBY,,04/05/2017,07:45,"TH, JS",R6A,50,,,2.5,,,
U2BY,,04/05/2017,08:09,"TH, JS",R16,20,,,,,,
IZBY,,04/05/2017,08:09,"TH, JS",R16,20,,,,,,
ZTRY,,04/05/2017,,"TH, JS",G2,18,,,2,,,
DPON,,04/05/2017,10:50,"TH, JS",R5,50,,,2.5,,,
CAON,,04/05/2017,10:50,"TH, JS",R5,50,,,2.5,,,
T2BY,,04/05/2017,11:00,"TH, JS",R16,23,,,2.5,,,
D2BY,,04/05/2017,11:00,"TH, JS",R16,23,,,3,,,
XSWR,,04/05/2017,,"TH, JS",G7,12,,,2.5,,,
H2WR,,04/05/2017,14:52,"TH, JS",R6A,80,,,2.5,,,
BTBY,,04/05/2017,14:52,"TH, JS",R6A,80,,,,,,
B7BY,,04/05/2017,14:52,"TH, JS",R6A,80,,,3,,,
ADON,,04/05/2017,15:14,"TH, JS",R5,29,,unringed,3,,,
2JWR,,04/05/2017,15:14,"TH, JS",R5,29,,,3,,,
6LBY,,04/05/2017,16:14,"TH, JS",G3,,,,2.5,,,
XXRR,,04/05/2017,,"TH, JS",G2,28,,,2.5,,,
6ABY,,04/05/2017,16:36,"TH, JS",G2,60,,6JBY,2.5,2.5,,
6JBY,,04/05/2017,16:36,"TH, JS",G2,60,,6ABY,2.5,2.5,,
UBRY,,04/05/2017,16:36,"TH, JS",G2,60,,unringed,3,,,
67ON,,04/05/2017,16:36,"TH, JS",G2,60,,K3BY,2.5,2.5,,
K3BY,,04/05/2017,16:36,"TH, JS",G2,60,,67ON,2.5,2.5,,
ZTRY,,04/05/2017,16:36,"TH, JS",G2,60,,,3,,,
2CWR,,04/05/2017,18:06,"TH, JS",R6A,17,,,3.5,,,
DPON,,04/05/2017,18:06,"TH, JS",R6A,17,,CAON,2.5,2,,
CAON,,04/05/2017,18:06,"TH, JS",R6A,17,,DPON,2,2.5,,
IPRR,,04/05/2017,18:06,"TH, JS",R6A,17,,,,,,
JUBY,,04/05/2017,18:06,"TH, JS",R5,37,,FVBY,2.5,2.5,,
FVBY,,04/05/2017,18:06,"TH, JS",R5,37,,JUBY,2.5,2.5,,
THLY,,04/05/2017,18:06,"TH, JS",R5,37,,,3,,,
H2WR,,04/05/2017,18:06,"TH, JS",R5,37,,,2.5,,,
47RR,,04/05/2017,18:51,"TH, JS",R5,60,,,3,,,
43WB,,04/05/2017,18:51,"TH, JS",R5,60,,26WB,3.5,2,,
26WB,,04/05/2017,18:51,"TH, JS",R5,60,,43WB,2,3.5,,
7ABY,,04/05/2017,18:51,"TH, JS",R5,60,,,2.5,,,
UHWB,,04/05/2017,19:09,"TH, JS",R5,35,,,,,,
ICBY,,04/05/2017,19:09,"TH, JS",R5,35,,,2,,,
CKBY,,04/05/2017,19:09,"TH, JS",R5,35,,9NBY,,,,
9NBY,,04/05/2017,19:09,"TH, JS",R5,35,,CKBY,,,,
F3WR,,04/05/2017,19:09,"TH, JS",R5,35,,,2,,,
ICBY,,05/05/2017,06:35,"TH, JS",R6A,8,,,,,,
(m)K(m)Y,,05/05/2017,06:44,"TH, JS",R29,61,,unringed,2.5,,,
9PBY,,05/05/2017,06:44,"TH, JS",R29,61,,unringed,3,,,
H6WR,,05/05/2017,06:44,"TH, JS",R29,61,,,3,,,
BILY,,05/05/2017,06:44,"TH, JS",R29,61,,,2.5,,,
DUBY,,05/05/2017,06:44,"TH, JS",R29,61,,,2.5,,,
DZLY,,05/05/2017,06:44,"TH, JS",R29,61,,,,,,
6KBY,,05/05/2017,07:16,"TH, JS",R6B,42,,unringed,2.5,,,
J-L-,,05/05/2017,07:16,"TH, JS",R6B,42,,unringed,2.5,,,
4UBY,,05/05/2017,07:16,"TH, JS",R6B,42,,unringed,2.5,,,
H6WR,,05/05/2017,07:16,"TH, JS",R6B,42,,unringed,3,,,
6PBY,,05/05/2017,07:48,"TH, JS",G6,27,,,,,,
6BBY,,05/05/2017,07:48,"TH, JS",G6,27,,,,,,
DTBB,,05/05/2017,07:48,"TH, JS",G6,27,,DNBB,2.5,2.5,,
DNBB,,05/05/2017,07:48,"TH, JS",G6,27,,DTBB,2.5,2.5,,
(m)B(m)Y,,05/05/2017,07:48,"TH, JS",G6,27,,unringed,3,,,
6LBY,,05/05/2017,07:54,"TH, JS",G4,45,,,2.5,,,
NTWB,,05/05/2017,07:54,"TH, JS",G4,45,,unringed,2.5,,,
XSWR,,05/05/2017,07:54,"TH, JS",G4,45,,,2.5,,,
(m)H(m)Y,,05/05/2017,07:54,"TH, JS",G4,45,,,,,,
6FBY,,05/05/2017,07:54,"TH, JS",G4,45,,6BBY,2.5,3,,
6BBY,,05/05/2017,07:54,"TH, JS",G4,45,,6FBY,3,2.5,,
X-W-,,05/05/2017,07:54,"TH, JS",G4,45,,XVWR,2.5,2.5,,
XVWR,,05/05/2017,07:54,"TH, JS",G4,45,,X-W-,2.5,2.5,,
2NWR,,05/05/2017,07:54,"TH, JS",G4,45,,2PWR,3,2.5,,
2PWR,,05/05/2017,07:54,"TH, JS",G4,45,,2NWR,2.5,3,,
6ABY,,05/05/2017,08:31,"TH, JS",G2,,,6JBY,,,,
6JBY,,05/05/2017,08:31,"TH, JS",G2,,,6ABY,,,,
62WB,,05/05/2017,08:31,"TH, JS",G2,,,,,,,
6HBY,,05/05/2017,08:35,"TH, JS",G1,60,,6NBY,,,,
6NBY,,05/05/2017,08:35,"TH, JS",G1,60,,6HBY,,,,
TSRB,,05/05/2017,08:35,"TH, JS",G1,60,,NDRB,,2.5,,
NDRB,,05/05/2017,08:35,"TH, JS",G1,60,,TSRB,2.5,,,
FJRY,,05/05/2017,12:14,"TH, JS",R17,2,,,2,,,
CAON,,05/05/2017,12:36,"TH, JS",R28,30,,,,,,
(m)P(m)Y,,05/05/2017,12:56,"TH, JS",G6,25,,,,,,yellow ring broken
9NBY,,05/05/2017,13:30,"TH, JS",R5,45,,,,,,
DAON,,05/05/2017,13:30,"TH, JS",R5,45,,DPON,,,,
DPON,,05/05/2017,13:30,"TH, JS",R5,45,,DAON,,,,
IPRR,,05/05/2017,13:30,"TH, JS",R5,45,,,,,,
H2WR,,05/05/2017,13:30,"TH, JS",R5,45,,,,,,
FVBY,,05/05/2017,13:30,"TH, JS",R5,45,,JUBY,,,,
JUBY,,05/05/2017,13:30,"TH, JS",R5,45,,FVBY,,,,
4IBY,,05/05/2017,13:30,"TH, JS",R5,5,,,,,,
I3YY,,05/05/2017,13:30,"TH, JS",R5,5,,unringed,,,,3 juveniles
47RR,,05/05/2017,14:27,"TH, JS",UK,60,,unringed,3,,,
2BWR,,05/05/2017,14:52,"TH, JS",G2,50,,unringed,2.5,,,
UBRY,,05/05/2017,14:52,"TH, JS",G2,50,,unringed,3,,,
67ON,,05/05/2017,14:52,"TH, JS",G2,50,,,,,,
K3BY,,05/05/2017,14:52,"TH, JS",G2,50,,,2.5,,,
6NBY,,05/05/2017,14:52,"TH, JS",G2,50,,,,,,
6HBY,,05/05/2017,14:52,"TH, JS",G2,50,,,,,,
ZTRY,,05/05/2017,14:52,"TH, JS",G2,50,,,2.5,,,
DTBB,,05/05/2017,15:26,"TH, JS",R1,70,,,,,,
DZBY,,05/05/2017,15:26,"TH, JS",R1,70,,,2.5,,,
(m)C(m)Y,,05/05/2017,15:44,"TH, JS",G7,7,,,,,,ring stuck above knee
2PRY,,05/05/2017,16:12,"TH, JS",R16,4,,,2.5,,,
AXBO,,05/05/2017,16:12,"TH, JS",R16,4,,2BDBO,3,3,,1 juvenile
2BDBO,,05/05/2017,16:12,"TH, JS",R16,4,,AXBO,3,3,,1 juvenile
ICBY,,05/05/2017,16:52,"TH, JS",R5,70,,,,,,
H2WR,,05/05/2017,16:52,"TH, JS",R5,70,,,,,,
C2WR,,05/05/2017,16:52,"TH, JS",R5,70,,,,,,
2JWR,,05/05/2017,16:52,"TH, JS",R5,70,,,,,,
